"CODE_MAIN","CODE_SUB","LOCAL_MAIN","LCOCAL_SUB"
"11","11010","서울특별시","종로구"
"11","11020","서울특별시","중구"
"11","11030","서울특별시","용산구"
"11","11040","서울특별시","성동구"
"11","11050","서울특별시","광진구"
"11","11060","서울특별시","동대문구"
"11","11070","서울특별시","중랑구"
"11","11080","서울특별시","성북구"
"11","11090","서울특별시","강북구"
"11","11100","서울특별시","도봉구"
"11","11110","서울특별시","노원구"
"11","11120","서울특별시","은평구"
"11","11130","서울특별시","서대문구"
"11","11140","서울특별시","마포구"
"11","11150","서울특별시","양천구"
"11","11160","서울특별시","강서구"
"11","11170","서울특별시","구로구"
"11","11180","서울특별시","금천구"
"11","11190","서울특별시","영등포구"
"11","11200","서울특별시","동작구"
"11","11210","서울특별시","관악구"
"11","11220","서울특별시","서초구"
"11","11230","서울특별시","강남구"
"11","11240","서울특별시","송파구"
"11","11250","서울특별시","강동구"
"21","21010","부산광역시","중구"
"21","21020","부산광역시","서구"
"21","21030","부산광역시","동구"
"21","21040","부산광역시","영도구"
"21","21050","부산광역시","부산진구"
"21","21060","부산광역시","동래구"
"21","21070","부산광역시","남구"
"21","21080","부산광역시","북구"
"21","21090","부산광역시","해운대구"
"21","21100","부산광역시","사하구"
"21","21110","부산광역시","금정구"
"21","21120","부산광역시","강서구"
"21","21130","부산광역시","연제구"
"21","21140","부산광역시","수영구"
"21","21150","부산광역시","사상구"
"21","21310","부산광역시","기장군"
"22","22010","대구광역시","중구"
"22","22020","대구광역시","동구"
"22","22030","대구광역시","서구"
"22","22040","대구광역시","남구"
"22","22050","대구광역시","북구"
"22","22060","대구광역시","수성구"
"22","22070","대구광역시","달서구"
"22","22310","대구광역시","달성군"
"23","23010","인천광역시","중구"
"23","23020","인천광역시","동구"
"23","23030","인천광역시","남구"
"23","23040","인천광역시","연수구"
"23","23050","인천광역시","남동구"
"23","23060","인천광역시","부평구"
"23","23070","인천광역시","계양구"
"23","23080","인천광역시","서구"
"23","23310","인천광역시","강화군"
"23","23320","인천광역시","옹진군"
"24","24010","광주광역시","동구"
"24","24020","광주광역시","서구"
"24","24030","광주광역시","남구"
"24","24040","광주광역시","북구"
"24","24050","광주광역시","광산구"
"25","25010","대전광역시","동구"
"25","25020","대전광역시","중구"
"25","25030","대전광역시","서구"
"25","25040","대전광역시","유성구"
"25","25050","대전광역시","대덕구"
"26","26010","울산광역시","중구"
"26","26020","울산광역시","남구"
"26","26030","울산광역시","동구"
"26","26040","울산광역시","북구"
